requestID,clientContextID,status,elapsedTime,resultCount,resultSize,processedObjects,timestamp
ac56729b-0954-4c8a-8917-f68986a5f95c,1b_Create_All.sql,success,3.491986734s,0,0,0,2021-09-07 01:00:25.972032
2ea75b00-ac86-4f09-bdee-51e44c16ce86,2b_Load_All.sql,success,3.584824583s,0,0,0,2021-09-07 01:00:29.481268
848406a0-4cae-4e38-8adb-944f10b9b1d7,3_Point-Count_Buildings.sql,success,156.604078ms,265,3988,265,2021-09-07 01:00:33.083995
602d7f2f-3a9d-49d0-b27f-a20dda75e9a1,4_Point-Count_RoadNetwork.sql,success,183.921033ms,8415,126225,8415,2021-09-07 01:00:33.257481
bcd58597-6f02-459d-a811-bb5f6683687b,5_Point-Count_AllNodes.sql,success,308.495899ms,47371,710565,47371,2021-09-07 01:00:33.539230
4e461347-af84-45bf-a9b1-a6ab18fc8abb,6_Equals_Polygon-Polygon.sql,success,595.155009ms,265,343681,265,2021-09-07 01:00:34.397583
b33d7451-1f49-49bd-8a98-9fb91d3e0e5a,7b_Equals_Point-Point.sql,success,41.023230841s,47377,29870127,47371,2021-09-07 01:00:35.577456
f13778fa-d5b6-41e9-85d6-1c575488e9e9,8_Disjoint_Polygon-Polygon.sql,success,4.066064364s,69942,90702428,265,2021-09-07 01:01:24.745504
e85b26d7-6323-48b5-bb74-b1e133ca10e6,9_Intersects_Line-Polygon.sql,success,796.16873ms,0,0,8680,2021-09-07 01:01:59.199981
1cb25c8f-ecd5-4a09-8243-9bebf3b35039,10_Intersects_Point-Polygon.sql,success,1.429680862s,1399,1519244,47636,2021-09-07 01:02:30.305080
292a3ff4-a79f-420a-86c1-3778538c9ba0,11b_Intersects_Point-Line.sql,success,10.557535776s,16833,16180592,55786,2021-09-07 01:03:02.338586
4e4bcf96-d4e3-4f29-bd2d-9545f08fda32,12_Touches_Polygon-Polygon.sql,success,510.493648ms,6,10602,265,2021-09-07 01:03:46.935177
596b057d-de71-468a-824c-b409c7187c19,13_Touches_Line-Polygon.sql,success,607.141783ms,0,0,8680,2021-09-07 01:04:20.138696
3caaa918-5384-42ae-898f-866b7a8ca66e,14_Crosses_Line-Line.sql,success,3.45552151s,4,4586,8415,2021-09-07 01:04:54.803732
766d0b8c-9d50-4691-aee5-41d8039bf0c2,15_Crosses_Line-Polygon.sql,success,669.143695ms,0,0,8680,2021-09-07 01:05:34.007752
d09de29b-2251-40e3-8a06-0175e2f43d8c,16_Overlaps_Polygon-Polygon.sql,success,550.779026ms,10,12484,265,2021-09-07 01:06:09.110179
a567d59d-f6b6-41e9-a1dd-9ac529ae48ed,17_Within_Polygon-Polygon.sql,success,625.507115ms,266,346816,265,2021-09-07 01:06:43.430115
69cc53b4-30a2-469e-9285-0b2023fa00f9,18_Within_Line-Polygon.sql,success,681.837618ms,0,0,8680,2021-09-07 01:07:19.966154
5c7710e7-e453-4261-9fe2-195d13bc2812,19_Within_Point-Polygon.sql,success,1.122901462s,48,70238,47636,2021-09-07 01:07:54.539583
721fdbe5-152b-438e-8c7d-d4d677632820,20_Contains_Polygon-Polygon.sql,success,617.714781ms,266,346816,265,2021-09-07 01:08:30.179453
a66ed9e3-b6d0-4fe5-bbd6-72148e350522,21_Scan_Polygon.sql,success,148.665237ms,265,9087,265,2021-09-07 01:09:05.077502
0ca9393e-b0e4-4eeb-a268-2740027b566a,22_Scan_RoadNetwork.sql,success,224.101293ms,8415,289056,8415,2021-09-07 01:09:39.100232
9b23eef3-5176-4a5e-8e9f-ad7354b21ca5,23b_Create_States.sql,success,8.995411266s,0,0,0,2021-09-07 01:10:13.911165
b24262e6-4cb8-4f39-9139-916de6bc8569,24_Range_Buildings-States.sql,success,3.209054101s,258,9365,4859,2021-09-07 01:10:57.445754
f9842813-ed0f-4872-9105-0bc5170cceb1,25_Range_RoadNetwork-States.sql,success,12.286840352s,8386,321610,13009,2021-09-07 01:11:35.011456
fc33d28f-bbee-4c6e-8ae9-f6be392fd553,26_Aggregate_Buildings-States.sql,success,1.855724521s,1,66,4859,2021-09-07 01:12:21.398882
e3dc2765-a71f-496f-9e30-d569f732c4f0,27_Aggregate_RoadNetwork-States.sql,success,33.694273793s,1,66,13009,2021-09-07 01:12:57.319026
