requestID,clientContextID,status,elapsedTime,resultCount,resultSize,processedObjects,timestamp
ad67ad14-56de-4a0f-b49c-77deb6177055,1a_Create_All.sql,success,299.688636ms,0,0,0,2021-09-06 15:18:58.068134
9a7ca387-63d1-45ed-b2f4-550c41396d3b,2a_Load_All.sql,success,2.416495544s,0,0,0,2021-09-06 15:18:58.382959
f4c6235f-051b-4559-b2cf-ecbd3b269674,3_Point-Count_Buildings.sql,success,39.606102ms,265,3988,265,2021-09-06 15:19:00.809568
ad09597f-29cf-4820-b577-408daa0f618f,4_Point-Count_RoadNetwork.sql,success,150.671753ms,8415,126225,8415,2021-09-06 15:19:00.870276
aaec8251-80e4-46c8-8667-cf115a826ac1,5_Point-Count_AllNodes.sql,success,585.986596ms,47371,710565,47371,2021-09-06 15:19:01.166080
ad9a0bbf-a9b1-41e0-9004-8f6fb83816e6,6_Equals_Polygon-Polygon.sql,success,1.012282083s,265,343681,265,2021-09-06 15:19:02.066463
ab9628da-1cea-4170-afc3-3f81b538cc46,7a_Equals_Point-Point.sql,success,52.032914125s,8345,5263399,8303,2021-09-06 15:19:03.454928
54cd7d03-f493-4abe-94fb-61a3496b5dbf,8_Disjoint_Polygon-Polygon.sql,success,9.771904477s,69942,90702428,265,2021-09-06 15:19:56.875708
9864d3b0-a0b8-424d-a9d7-1353d457c784,9_Intersects_Line-Polygon.sql,success,6.188329743s,0,0,8680,2021-09-06 15:20:18.841521
e43c692e-0c4d-4ced-84af-39bec5a35984,10_Intersects_Point-Polygon.sql,success,13.414096858s,1399,1519244,47636,2021-09-06 15:20:39.008440
96ee4ade-fd29-4a83-8ad0-fac755798051,11a_Intersects_Point-Line.sql,success,5.159602845s,1286,1471728,8946,2021-09-06 15:21:04.029585
ee030b66-1b3f-435d-a942-934c93b91fac,12_Touches_Polygon-Polygon.sql,success,333.234355ms,6,10602,265,2021-09-06 15:21:21.326132
1d15b41e-8cc2-4747-a2c7-6d4275c9e269,13_Touches_Line-Polygon.sql,success,3.475020195s,0,0,8680,2021-09-06 15:21:33.308292
20883266-1cb1-4c4b-a28e-0593289186e0,14_Crosses_Line-Line.sql,success,70.021209699s,4,4586,8415,2021-09-06 15:21:49.408988
9aeb69ac-e5bc-4762-b336-cff868b06d7a,15_Crosses_Line-Polygon.sql,success,3.058364651s,0,0,8680,2021-09-06 15:23:11.362420
89d10dff-0a1f-48b2-a236-4ea1bb1ea660,16_Overlaps_Polygon-Polygon.sql,success,295.210811ms,10,12484,265,2021-09-06 15:23:26.227892
07bdf9c9-74e5-4175-b917-4cc5e66cb7d6,17_Within_Polygon-Polygon.sql,success,342.460057ms,266,346816,265,2021-09-06 15:23:38.366226
ef268f79-4555-4066-80a6-7f200a493f41,18_Within_Line-Polygon.sql,success,4.436464093s,0,0,8680,2021-09-06 15:23:50.818490
55a6e2b8-3723-4f9d-84e0-9c0e295cb023,19_Within_Point-Polygon.sql,success,12.834752844s,48,70238,47636,2021-09-06 15:24:07.606008
1bbce41b-88ae-46f6-919f-0dba114bbdf2,20_Contains_Polygon-Polygon.sql,success,316.466403ms,266,346816,265,2021-09-06 15:24:32.480525
503ba8cd-61d6-40ab-be3a-4826aef8b995,21_Scan_Polygon.sql,success,45.938948ms,265,9087,265,2021-09-06 15:24:44.619935
1559d2c9-bdc6-4743-8048-52fe6c77d345,22_Scan_RoadNetwork.sql,success,134.068185ms,8415,289056,8415,2021-09-06 15:24:56.214016
b2d42769-4793-4c1e-8792-bed97fb0b3b2,23a_Create_States.sql,success,4.884373674s,0,0,0,2021-09-06 15:25:08.306220
0e79a701-f5f8-4d4e-9ee9-f54500751eb9,24_Range_Buildings-States.sql,success,101.330941ms,258,9365,266,2021-09-06 15:25:25.204093
7b80d220-9378-41b4-96fc-4c1b8bb33369,25_Range_RoadNetwork-States.sql,success,1.201771302s,8386,321610,8416,2021-09-06 15:25:37.490861
2904a97a-0ef2-4531-aa3e-3ffc6c3245f3,26_Aggregate_Buildings-States.sql,success,139.722257ms,1,66,266,2021-09-06 15:25:50.582784
35cb521e-8b50-4eba-865a-e29e23c9f15b,27_Aggregate_RoadNetwork-States.sql,success,1.746823295s,1,66,8416,2021-09-06 15:26:02.647223
a104758e-f6b8-4716-95b8-ca4d14a0ade9,28_Aggregate_AllNodes-States.sql,success,5.528269836s,1,53,47372,2021-09-06 15:26:16.395181
38104cab-d4f4-4d04-a241-79d220e8d8e6,29a_Distance_Points-Points.sql,success,50.163194774s,8303,625029,16606,2021-09-06 15:26:37.061949
2db704a1-210d-4c0b-83df-7dce1497e705,30_Create_UrbanAreas.sql,success,3.49005773s,0,0,0,2021-09-06 15:27:39.466011
8986f1da-0a6e-4d1d-9b37-a970f2b09471,31_ReverseGeocoding_Point-UrbanAreas.sql,success,118.80905ms,0,0,11878,2021-09-06 15:27:54.902761
f49603f6-09c9-46c4-9012-1076ae4afd8e,32_ReverseGeocoding_Point-Street.sql,success,85.971085ms,1,345,8415,2021-09-06 15:28:06.927433
a76f7e38-199a-470a-b88c-00f4b925c41c,33_MapSearch&Browsing_Point-BoundingBox.sql,success,1.910367715s,47371,15240737,47371,2021-09-06 15:28:19.319394
e798a152-4bc7-4f55-ae73-7eb2cdd311c9,34_MapSearch&Browsing_Line-BoundingBox.sql,success,804.359479ms,8415,5402068,8415,2021-09-06 15:28:35.608939
18dbd4e2-3c44-4687-b787-8ea1689254b7,35_MapSearch&Browsing_Polygon-BoundingBox.sql,success,36.864741ms,265,174093,265,2021-09-06 15:28:51.608335
0789e140-9356-47b3-84a1-965bcab4b992,36_Land-Information-Management_Buildings-States.sql,success,280.235973ms,1,54,266,2021-09-06 15:29:11.296233
18ae074f-5e8d-4bcf-a8d9-cff98c5f0d76,37_Land-Information-Management_Average-SqFt-Buildings-States.sql,success,268.380805ms,1,65,266,2021-09-06 15:29:28.578844
