requestID,clientContextID,status,elapsedTime,resultCount,resultSize,processedObjects,timestamp
aaacdcac-a4f1-4b3c-9552-f76bf1c2b0f7,1a_Create_All.sql,success,474.923455ms,0,0,0,2021-08-30 04:49:48.121015
8aa72679-9b91-4bc1-b403-2a389e2fb4d5,2a_Load_All.sql,success,2.133487209s,0,0,0,2021-08-30 04:49:48.604814
cc9d99a3-0463-48f7-8893-ec62755f6085,3_Point-Count_Buildings.sql,success,62.205776ms,265,3988,265,2021-08-30 04:49:50.750591
c69fafe1-f024-4dec-a94d-9ba6a6a0d78d,4_Point-Count_RoadNetwork.sql,success,147.401638ms,8415,126225,8415,2021-08-30 04:49:50.823398
8e126900-eacf-4f87-bf8a-885a9aac7d52,5_Point-Count_AllNodes.sql,success,665.815982ms,47371,710565,47371,2021-08-30 04:49:51.034806
3093c2ef-a3fd-4738-81a8-8505ca9d8e35,6_Equals_Polygon-Polygon.sql,success,773.732272ms,265,343681,265,2021-08-30 04:49:52.000687
0b6d1aa2-f386-40c2-bd3f-163ca6a00cc6,7a_Equals_Point-Point.sql,success,45.514738397s,8345,5263399,8303,2021-08-30 04:49:53.101381
ede289fa-f100-48e1-b49d-74cc91d41dae,8_Disjoint_Polygon-Polygon.sql,success,5.140280994s,69942,90702428,265,2021-08-30 04:50:39.714716
30f72c71-382e-4cc5-b2b3-385344c605d2,9_Intersects_Line-Polygon.sql,success,4.938140873s,0,0,8680,2021-08-30 04:50:56.965208
3d80cade-fb5f-4013-b651-3c1d247b9f42,10_Intersects_Point-Polygon.sql,success,14.172508113s,1399,1519244,47636,2021-08-30 04:51:14.575697
23f623a8-34b4-4142-94cc-c0feaf02ce74,11a_Intersects_Point-Line.sql,success,5.426497593s,1286,1471728,8946,2021-08-30 04:51:40.444577
d89e00e6-4980-42c8-8b64-489971598dc2,12_Touches_Polygon-Polygon.sql,success,323.126844ms,6,10602,265,2021-08-30 04:51:58.254098
68bd2699-f5b8-48fa-8af5-4409788a8b0b,13_Touches_Line-Polygon.sql,success,3.941634348s,0,0,8680,2021-08-30 04:52:10.076046
b7009fec-e6c7-47e3-ab7c-b2631007e4b0,14_Crosses_Line-Line.sql,success,65.432994567s,4,4586,8415,2021-08-30 04:52:26.150572
